Data Taken from https://www.kaggle.com/datasets/threnjen/board-games-database-from-boardgamegeek?resource=download&select=games.csv,,,
About Board Game Categories and Rankings,,,
Modified/Transformed/Cleaned by Sarah Cannon,,,
For CSCI 36,Fall 2024, Claremont McKenna College,
160517,The Possession,6.13098,Thematic
160524,Soccer Blast Pro Soccer Game,8.16256,Other
160537,Code Monkey Island,5.54375,Other
160541,Paw Patrol Adventure Game,3.92492,Other
160545,Crazier Eights,6.31667,Other
160550,GodZ,5.80538,Other
160559,Simurgh,6.69585,Strategy
160560,Leagues of Adventure: Rocket Race,6.4625,Other
160561,Versailles,6.51595,Strategy
160567,BANG!: The Walking Dead,6.41871,Other
160592,Oklahoma Boomers,6.58139,Other
160601,Justice League Strategy Game,6.51538,Other
160606,Day of Days: The Invasion of Normandy 1944,7.5186,War
160608,Dungeon Bazar,5.78287,Strategy
160610,Thunderbirds,7.55619,Thematic
160614,Soqquadro,6.01705,Other
160658,Postcard Cthulhu,5.89615,Other
160664,Warmachine: High Command – Faith & Fortune,6.86452,Other
160669,Town Center (Fourth Edition),6.80885,Other
160744,Far Space Foundry,6.7218,Strategy
160762,Oni,6.248,Other
160784,Fidelitas,6.20493,Other
160814,Cartoon Network Fluxx,5.92052,Other
160851,Lanterns: The Harvest Festival,6.90299,Family
160853,Stuff and Nonsense,6.42414,Thematic
160868,Last Starfleet,6.36053,Other
160871,Scotland Rising,6.51746,War
160902,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.2487,CGS
160903,Target for Today,8.04981,War
160908,Plus Ultra: The Court of the Emperor Charles V,7.3003,Strategy
160950,The Badger Deck,8.18378,Other
160958,DC Comics Deck-Building Game: Rivals – Batman vs The Joker,7.02713,Thematic
161063,Stipulations,6.45746,Other
161108,Fleet Commander: 1 – Ignition,7.68558,Strategy
161109,Speakeasy,6.30365,Other
161126,Dust Tactics,7.32558,Other
161138,Dragon Run,6.12318,Other
161148,Monsoon Market,6.19984,Other
161206,"Pequenas Igrejas, Grandes Negócios",5.47886,Other
161226,The Builders: Antiquity,6.71768,Family
161290,Space Movers 2201,6.55551,Other
161297,Paradox,7.05769,Strategy
161383,LIE,6.20798,Other
161417,Red7,6.90121,Family
161429,Who Stole the Cookie?,5.94091,Other
161527,Catan: Ancient Egypt,7.26921,Family
161528,The Great Debate,6.48971,Other
161530,Jäger und Späher,6.80077,Strategy
161533,Lisboa,8.20247,Strategy
161537,7 Steps,6.1869,Abstract
161543,Length x Wit,7.20244,Other
161546,Timeline: American History,6.7042,Family
161553,Drecksause,5.27065,Other
161600,Panzer Vor!,7.13673,War
161614,Stockpile,7.52519,Strategy
161617,Dungeon Lords: Happy Anniversary,8.18864,Other
161620,"Omertà, el poder de la mafia",7.31292,Strategy
161681,Lift Off! Get me off this Planet!,6.82655,Family
161682,Le Temps des As,7.6,War
161719,Rise of Cthulhu,6.54583,Strategy
161720,Rumplestiltskin!,5.18286,Other
161726,Sword & Spear: Wargames Rules for Ancient and Medieval Battles,7.725,Other
161743,TacDex: Pirates,5.47093,Other
161757,New Salem,6.3108,Other
161761,King's Gold,6.2552,Family
161765,Railroads,8.33441,Other
161773,Little Cooperation,5.99149,Childrens
161782,Kremlin (Third Edition),6.96429,Other
161813,Hangtown,7.32635,Other
161820,Avec Infini Regret,7.57324,War
161849,Land 6,6.1047,Other
161866,Zombicide Season 3: Rue Morgue,7.54824,Thematic
161869,Castle Blast,5.72196,Other
161880,The Quiet Year,7.69945,Thematic
161881,Fin Finaud questionne tout,6.33281,Other
161882,Irish Gauge,7.33808,Strategy
161885,Rail USA,6.75763,Other
161886,1879: US Pacific Northwest,6.7427,Other
161887,Amber Route,5.67959,Other
161913,Camelot: The Court,6.59867,Other
161921,Dolmen,6.92277,Abstract
161923,Switching Tracks,6.51716,Other
161926,Dead Drop,6.36338,Family
161928,Utter Nonsense,5.48541,Other
161943,Chosŏn,6.56826,Other
161965,Johari,6.30748,Other
161966,Armymals,6.49662,Other
161970,Alchemists,7.67084,Strategy
161995,Hexemonia,6.4094,Strategy
162009,The U.S. Civil War,8.23644,War
162012,GembloQ,6.62333,Other
162022,6 nimmt! Schnupperspiel,7.06471,Other
162038,Private Die,6.51019,Other
162041,Ninja Taisen,6.38231,Other
162070,Populi Turolii,6.25333,Other
162071,Vaults,5.63877,Other
162082,Deus,7.31325,Strategy
162093,I Hate Zombies,5.20264,Party
162107,Doodle City,6.3117,Family
162114,Hamsterbacke,6.56454,Family
162120,Schraube Locker,5.91071,Other
162141,Swedish Parliament 2014,6.866,Other
162152,Ciúb,6.13425,Family
162191,Schau mal!,6.17493,Other
162223,Mood X,5.74808,Other
162263,Temporum,6.37214,Strategy
162286,Super Motherload,7.37858,Strategy
162288,Nightlight,6.04955,Other
162292,The Draugr,6.40171,Other
162295,Zik,6.44056,Other
162315,Mouse Guard: Swords & Strongholds,7.00453,Abstract
162351,Shadows Over Normandie: Achtung! Cthulhu,7.25681,War
162367,Co-Mix,6.00589,Party
162378,Holiday Fluxx,6.27126,Other
162383,"Festung Europa: The Campaign for Western Europe, 1943-1945",6.95699,War
162384,Imperial Stars II,7.16482,War
162388,BattleCON: Fate of Indines,7.91384,Strategy
162391,Archaeologia,6.68515,Family
162476,Masmorra de DADOS,6.94401,Family
162480,Rise of the Kage,6.7053,Other
162559,Smash Up: Munchkin,6.59333,Strategy
162571,PBL Robots,5.31905,Other
162578,Collapse,6.28529,Other
162580,Realm of Wonder,6.0119,Other
162591,Heroes,6.0877,Other
162614,Santa's Bag,6.04608,Other
162654,Villannex,5.74532,Other
162660,Secret Moon,5.72953,Other
162677,1893: Cologne,7.33857,Other
162680,War of the Worlds,6.74054,War
162727,Victory through Industry,6.21979,Other
162738,Light Rail,6.318,Other
162777,Doppelgänger,6.58872,Other
162865,"I, Spy",7.23384,Strategy
162886,Spirit Island,8.3583,Strategy
162888,Phoenix Covenant,7.61395,Other
162915,8 the Liar,4.77105,Other
162944,Ultimate Werewolf: Deluxe Edition For Kickstarter,7.66099,Other
162974,Chroma Cubes,6.71694,Other
163027,Loop Inc.,6.38554,Other
163031,Cartography,6.18602,Abstract
163040,Det dårlige selskab,6.40811,Other
163047,Yomi: Round 1,7.19213,Other
163048,Yomi: Round 2,7.90513,Other
163056,Musée,6.80988,Family
163062,Mare Nostrum: War in the Mediterranean,6.7551,War
163068,Trickerion: Legends of Illusion,7.93155,Strategy
163081,Galaxy of Trian,6.47013,Strategy
163097,Beyond the Rhine: The Campaign for Northwest Europe,8.44386,War
163099,V-Wars,6.20489,Other
163105,Alhambra: Big Box Special Edition,7.44908,Other
163119,Pocket Dungeon Quest,5.79618,Other
163144,Scheffeln,5.82368,Other
163154,Falling Sky: The Gallic Revolt Against Caesar,7.89101,War
163163,Grand Prix,7.2303,Other
163166,One Night Ultimate Werewolf: Daybreak,7.35576,Party
163170,Firefly: Shiny Dice,5.46358,Other
163172,Waterloo 1815: Fallen Eagles,8.25348,War
163175,Yashima: Legend of the Kami Masters,6.99585,Other
163186,Ray Master,6.23333,Other
163242,CHEW: Cases of the FDA,5.79439,Other
163255,Reconquista,7.37843,War
163263,Sea Kings,5.39605,Other
163277,Cardline: Dinosaurs,6.05755,Family
163310,Supermarché,7.22029,Other
163319,"Gallipoli, 1915: Churchill's Greatest Gamble",7.71633,War
163354,Cypher,5.92845,Family
163377,Rolling Japan,6.25492,Other
163413,Murano,7.20297,Strategy
163432,Tides of Infamy,6.97342,Other
163474,V-Sabotage,7.76526,Thematic
163478,Lunte,5.84574,Other
163481,Takamatsu,6.19504,Other
163482,15 Dias: The Spanish Golden Age,6.45393,Other
163565,"Pirates, Ninjas, Robots, & Zombies",6.19489,Other
163576,Monopoly: The Legend of Zelda,5.55908,Other
163602,XCOM: The Board Game,7.04053,Thematic
163640,Eminent Domain: Microcosm,6.38654,Strategy
163641,Eminent Domain: Battlecruisers,6.37505,Other
163642,Chimera Station,7.30991,Strategy
163685,Captain's Wager,5.55476,Other
163688,Six Sons of the Sultan,6.34836,Other
163724,My Monopoly,5.43077,Other
163771,The Siblings Trouble,7.19627,Family
163798,Nuevo Mundo,7.43932,Other
163805,Transatlantic,7.10153,Strategy
163839,Feudum,7.666,Strategy
163841,18CZ,7.82913,Strategy
163908,This House Is Haunted,7.50947,Other
163930,Abracada...What?,6.58866,Family
163931,Grog Island,6.58446,Strategy
163957,Alien Entity,6.05897,Other
163963,League of Hackers,6.31915,Other
163967,Tiny Epic Galaxies,7.36323,Strategy
163968,Elysium,7.22153,Strategy
163983,Squirrel or Die,6.42683,Other
164010,Moriarty's Machinations,6.11732,Other
164022,On to Paris 1870-1871: The Franco-Prussian War,7.11364,War
164027,Uruk II: Die Entwicklung geht weiter,6.63798,Other
164031,Munchkin Steampunk,6.57992,Other
164059,Saga: The Crescent and The Cross,8.34839,War
164091,Reis de Portugal,6.26267,Other
164110,Munchkin Gloom,6.33655,Other
164127,Carcassonne Big Box 5,7.91916,Other
164147,Rayguns and Rocketships,6.71327,Other
164153,Star Wars: Imperial Assault,8.00025,Thematic
164158,SHH,6.40614,Other
164159,BUS,6.25617,Other
164187,The Battle of Bushy Run,6.25806,War
164190,Diex Aïe,7.75667,War
164201,Okoshki,6.31625,Other
164202,Divorce! The Game,6.34744,Party
164205,King's Pouch,6.68268,Other
164236,Witch Hunt,7.60244,Party
164279,Twilight Sparkle's Secret Shipfic Folder,7.39592,Other
164284,Nord,6.34786,Other
164300,Pixel Guardians,6.24312,Other
164338,The Golden Ages,7.27714,Strategy
164339,3 to 4 Headed Monster,4.59542,Other
164354,Kryptos,6.43599,Other
164369,7 Kingdoms,6.675,Other
164428,Ultimate Scheme,7.06512,Other
164446,Way of the Fighter: Super,7.5573,Other
164448,Ninja All-Stars,6.23491,War
164449,Karate Fight,5.165,Other
164506,Biblios Dice,6.80697,Other
164542,Expeditie Robinson,5.29491,Other
164566,McJohny's,6.25294,Other
164589,Roar-a-Saurus,5.97504,Family
164590,GYÜMI,6.57234,Family
164600,Monkeys Need Love Too,6.74043,Other
164627,Brewin' USA,6.63569,Other
164645,"Mine, All Mine!",5.99922,Other
164670,Mr House,5.89789,Other
164686,Epic Monster Tea Party,6.96333,Other
164775,Monstrous,6.05797,Other
164778,Encounters: Bravest Warriors,6.01282,Other
164808,El Switcher,6.76906,Other
164812,Roll For It! Deluxe Edition,6.61947,Family
164829,Flea Marketeers,6.32381,Other
164838,Flip Hue,5.8337,Other
164840,Monopoly Deal,6.31784,Other
164874,Airborne Commander,6.90935,War
164917,Bananagrams WildTiles,6.53073,Other
164928,Orléans,8.07585,Strategy
164930,BANG!: Halo,5.93968,Other
165004,ONUS! Rome Vs Carthage,7.65704,War
165022,€uro Crisis,6.998,Other
165044,EverZone: Strategic Battles in the Universe,6.71975,Other
165046,Slavika: Equinox,6.62636,Other
165090,CLUE: Firefly Edition,6.40093,Other
165095,Pirate Loot: Base Set,6.14166,Other
165186,Hitler's Reich: WW2 in Europe,6.82593,War
165189,Altaria: Clash of Dimensions,4.84884,Other
165190,Boom Bokken,6.1351,Other
165208,Aruba: Battle Race,5.74314,Other
165283,Battleship,5.15212,Other
165292,"The Dark Sands: War in North Africa, 1940-42",7.61096,War
165294,"Zobmondo!! Would You Rather...? twisted, sick and wrong",4.3871,Other
165302,King Down,4.80172,Other
165332,Puerto Rico + Expansion I,8.03074,Other
165346,Mint Tin Pirates,7.42931,Other
165347,Mint Tin Aliens,7.48208,Other
165401,Wir sind das Volk!,7.83532,Strategy
165414,Dudab,5.27167,Other
165417,Puerto Diablo,6.18889,Other
165447,UFO Farmer,5.89489,Other
165469,Council of Verona (Second Edition),6.45182,Other
165470,100!,5.20968,Other
165471,Col-Or-Form,6.39574,Other
165477,Orcs Orcs Orcs,6.37491,Other
165492,The Majority: Complete Edition,6.95328,Other
165521,Rory's Story Cubes: Medic,6.72045,Other
165522,Rory's Story Cubes: Intergalactic,6.76722,Other
165523,Rory's Story Cubes: Score,6.56754,Other
165551,Moustache Smash,5.51307,Other
165552,Shark Mania,5.65889,Other
165556,Orongo,6.67337,Other
165557,Quizduell: Das Spiel,5.39744,Other
165559,Sau-Bande!,5.41818,Other
165563,Prohis,6.21031,Other
165578,Astro Jam,5.27195,Other
165584,Crowns,5.69783,Other
165585,TrakkX,6.25143,Other
165586,Adventure Tours,6.04058,Other
165587,DOG Cards,5.83867,Other
165595,JamSumo,7.33105,Other
165600,What The Face?,4.45249,Other
165627,Rincala,6.92424,Other
165628,HINT,6.69779,Other
165633,Slap .45,6.37441,Party
165640,Crop Cycle,6.82432,Other
165651,Merry Yard,5.73056,Other
165657,Melee,5.82468,Other
165662,Haru Ichiban,6.65175,Abstract
165694,The Cones of Dunshire,9.21622,Other
165711,Pizzeria Italia,5.63636,Other
165719,Super Fantasy: Night of the Badly Dead,6.95947,Other
165737,Flip 9,6.01659,Other
165743,In Love and War,5.71667,Other
165748,Psycho Raiders,8.00277,Other
165797,Der unendliche Fluss,5.95122,Other
165812,Nightmare Forest: Dead Run,6.65155,Other
165828,Truths Too Terrible,5.90176,Other
165838,Space Hulk (Fourth Edition),7.96534,Thematic
165872,Liberty or Death: The American Insurrection,7.81889,War
165876,Spike,6.68749,Other
165877,Spellcaster,6.54436,Other
165888,Wongamania,6.52273,Other
165889,Safe Breaker,5.93021,Other
165926,Calçotada Wars,6.1425,Other
165946,Green Beret: Vietnam,7.20833,War
165950,Beasty Bar,6.82118,Family
165959,Jolly Roger: The Game of Piracy & Mutiny,6.27371,Party
165967,Great War Commander,8.36106,War
165984,Anno Domini: Wissenschaft & Forschung,6.8599,Other
165999,Peng!,5.88889,Other
166019,Mafia: Vendetta,6.0996,Other
166026,Munchkin Treasure Hunt,5.62873,Other
166071,Combate de San Lorenzo,6.41429,Other
166081,Bucket of Doom,5.05473,Party
166107,Matcha,6.35795,Other
166109,Meteor,6.09138,Family
166156,Hoshi Battle,5.68,Other
166183,Palaces,6.11731,Other
166202,Bomb Squad Academy,6.38578,Other
166210,Blend Off!,6.36679,Other
166215,Tricks & Deserts,6.47576,Other
166226,The Staufer Dynasty,7.15545,Strategy
166246,Sifaka,6.23396,Other
166248,Release!,5.93984,Other
166260,Demonslayer: Siege of Mt. Kunlun,6.40324,Other
166276,Hellweg westfalicus,6.45694,Other
166280,DragonFlame,6.58033,Other
166286,Bottom of the 9th,6.77986,Thematic
166298,Peptide: A Protein Building Game,6.29401,Family
166300,Twistocity,8.65405,Other
166317,Time of Soccer,7.65358,Strategy
166333,Primiera,6.2625,Other
166341,7 & 7,7.41845,Other
166371,El Luchador Fantastico Grande,5.67439,Other
166372,Artificium,6.03194,Strategy
166384,Spyfall,6.85472,Party
166390,Moscow to Paris,5.66406,Other
166418,Darkrock Ventures,6.84479,Other
166436,In Flanders Field,6.40184,Other
166443,Sing it!,5.97843,Other
166509,Pinocchio: True or False,5.33654,Other
166510,Magi Kitchen,6.13226,Other
166532,Cubo,5.638,Other
166537,RuneCast,5.08889,Other
166556,Aqua Brunch,5.9127,Other
166567,Sequence Letters,5.32526,Other
166569,House of Borgia,6.60771,Other
166571,Tramways,7.42331,Strategy
166633,Bounce-Off,5.69159,Other
166640,Prime Time,5.91395,Strategy
166648,Imagidice!,6.4,Other
166650,Gingerdead House,6.17008,Other
166658,Bakerspeed,4.58794,Other
166661,Paititi,5.28133,Other
166669,San Juan (Second Edition),7.49381,Strategy
166710,Dragon's Ransom,5.98474,Other
166726,Richard I,6.85132,Strategy
166764,Würfel Kung Fu,5.98593,Other
166767,Imperial Harvest,6.58333,Other
166776,Skull Tales,7.81734,Thematic
166854,Dark Domains,7.5488,Other
166857,Antike II,7.48731,Strategy
166858,Villainous Vikings (Second Edition),6.7348,Other
166859,Web of Spies,7.45977,Other
166888,Costa Ruana,6.17964,Other
166927,Crash Cup Karambolage,5.97647,Other
166929,Monster Laundry,5.55444,Other
166931,Ghost Blaster,6.06101,Other
166972,Bubble Bath Bunny,5.62466,Other
166976,Consentacle,6.78398,Other
166977,Gangster Dice,7.19722,Other
166988,Wizards of the Wild,6.67332,Other
166991,Addictive Alchemy,7.49692,Other
167185,Mumia: Wyścig w bandażach,6.40317,Other
167190,Of Dungeons Deep! (Second Edition),6.32809,Other
167237,Andromeda,6.59527,Other
167238,Zombie Terror,6.53036,Other
167270,Medina (Second Edition),7.21736,Abstract
167283,Circular Reasoning: The Well of Power,6.56569,Abstract
167298,Sheep & Thief,6.62997,Family
167349,Guerra De Mitos V,7.96129,Other
167355,Nemesis,8.38958,Thematic
167400,Ashes Reborn: Rise of the Phoenixborn,7.29556,CGS
167404,Warsaw Rising Up 1945-1980,6.78821,Other
167463,Kuhlorado,6.02417,Other
167465,Laser Cat Attack!,5.0125,Other
167466,Zum Kuhkuck,5.80568,Other
167468,Kuh Vadis,5.77414,Other
167505,Star Wars Force Grab,4.69255,Other
167513,Barony,7.08523,Strategy
167552,Build Up,7.23,Other
167579,Hawaiki,6.20645,Other
167580,Montmirail and Vauchamps 1814,8.23556,War
167589,Cut the Rope: The Card Game,5.13438,Other
167590,New Earth,3.35111,Other
167604,Rollet,7.04913,Other
167650,"Last Battle: Ie Shima, 1945",7.42629,War
167669,The Best of TV and Movies,5.401,Other
167698,Magic: The Gathering – Arena of the Planeswalkers,6.23907,Thematic
167715,Moral Dilemma,4.91366,Other
167718,Escola de Dragões,6.27027,Other
167723,Bin'Fa: The Tao of War,5.84921,Other
167763,DC Comics Deck-Building Game: Teen Titans,7.22678,Strategy
167764,Life & Legend,6.75694,Other
167787,Die die DIE,6.91667,Other
167791,Terraforming Mars,8.41879,Strategy
167827,Butim,5.39024,Other
167828,Roll Through the Ages: The Iron Age with Mediterranean Expansion,6.92559,Other
167850,Zombie Mania!,5.06811,Other
167892,Gang Up!,5.69647,Other
168005,Alien Invasion,5.06078,Other
168054,Grifters,6.76504,Thematic
168055,Roots: A Game of Inventing Words,6.04359,Other
168077,Dragon Ball Z TCG (2014 edition),7,Other
168082,Intendentes,7.4718,Other
168168,Prima Ballerina,4.91667,Other
168174,On the Hunt for Dinos,5.84472,Other
168204,"Sesam, puzzle dich!",5.62569,Other
168215,Saboteur: The Duel,6.04974,Family
168220,"Deal, Gentlemen Collectionneurs",6.10737,Other
168226,Black Stories: Funny Death Edition 2,6.45857,Other
168230,The Supershow,8.20918,Thematic
168232,Project Dreamscape,6.58043,Family
168236,My Little Pony Rainbow Magic Game,5.38194,Other
168250,Battle for Sularia,7.13616,Other
168265,oddball Aeronauts 2: Double the Trouble,6.52,Other
168274,Mistfall,6.67463,Thematic
168278,Firefly: Tall Card,5.40817,Other
168390,Set Schnupperspiel,5.30294,Other
168421,Bohnanza: Ladies & Gangsters,6.88375,Other
168429,Foldable Table Curling,7.16061,Other
168435,Between Two Cities,7.016,Family
168436,Pièces MontéeS,6.08085,Other
168446,Doggy GO!,5.80257,Other
168457,HexAgony,6.0879,Other
168512,X-Men: Mutant Revolution,6.23264,Other
168535,Mops Royal,6.3,Other
168549,Night Clan,6.44288,Other
168582,Dragon Racer,6.60272,Family
168584,Love Letter: Batman,7.27134,Family
168609,"Artifacts, Inc.",6.78489,Strategy
168653,Wilderness Empires,6.99942,War
168654,Stier zoekt Bier,5.84759,Other
168662,"The Siege of Orgun: Afghanistan, 1983",7.65443,War
168680,The Werewolves of Miller's Hollow: The Pact,7.52634,Other
168681,Beyond Baker Street,6.87094,Family
168687,Pete the Cat Groovy Buttons Game,4.26562,Other
168700,Kigi,6.31902,Other
168728,The Hen Commandments,5.94124,Other
168752,BANG!: Heroes of the Storm,6.33333,Other
168770,Epic PVP: Fantasy,6.42527,Thematic
168792,Secret Weapons of the Third Reich,6.88778,Strategy
168834,Rocca Rails,6.49216,Other
168840,Bonje in de stal,5.018,Other
168882,Race to the North Pole,6.00306,Other
168895,Corrupted Kingdoms,5.70576,Other
168900,D. Afonso Henriques,6.27969,Other
168917,Smash Up: Pretty Pretty Smash Up,7.26489,Strategy
168998,Marvel Dice Masters: Age of Ultron,7.25369,CGS
169045,Star Wars Galactic Dice Game,5.30238,Other
169062,Monsters vs. Heroes: Victorian Nightmares,6.01769,Other
169077,Medicine Whoops,5.45,Other
169102,Slaughterville,6.53211,Thematic
169141,Fallen Land: A Post Apocalyptic Board Game,8.19304,Thematic
169147,Letter Tycoon,6.82226,Family
169215,Peak Oil,6.62694,Other
169246,Ambyria: Shroud of the Shadow Demon,6.68062,Other
169255,A Game of Thrones: The Card Game (Second Edition),7.55302,CGS
169256,Hoverkraft,5.36141,Other
169274,Pixel Tactics Deluxe,7.35796,Other
169275,Pixel Tactics 4,7.08511,Other
169328,Falling (Revised Edition),5.80606,Other
169341,Birds of a Feather,6.7412,Family
169366,Waterloo 200,8.01651,War
169368,Arbos Apfel,6.94033,Other
169375,How to Serve Man,6.47928,Other
169393,The Lord of the P.I.G.S.,5.87607,Other
169426,Roll Player,7.51086,Strategy
169427,Middara: Unintentional Malum – Act 1,8.84724,Thematic
169436,Speedy Words,6.14974,Other
169459,The Princess Bride: A Battle of Wits,5.60924,Other
169462,The Princess Bride: As You Wish,5.71364,Other
169463,The Princess Bride: Miracle Pill,5.2902,Other
169464,Defenders of the Last Stand,7.49499,Other
169465,Shinobi: El Juego del Asesino,6.20513,Other
169470,Lemuria,6.34231,Other
169475,Ghostel,7.14464,Other
169502,Firefly: Fistful of Credits,5.27802,Other
169513,Dorasure,6.39168,Other
169530,Resistor_,6.42889,Other
169544,Bright Future,6.66572,Other
169550,Looting Atlantis,6.63615,Other
169555,Emergents: Genesis – The Deckbuilding Game,6.55,Other
169558,Noches de Sangre,5.4235,Thematic
169574,Zombie Run!,5.95105,Other
169611,Love Letter: The Hobbit – The Battle of the Five Armies,7.11025,Family
169652,Turbo Rally Card Racing: Thunder Track,6.61935,Other
169654,Deep Sea Adventure,6.96786,Family
169658,The Guardians: Explore,7.02535,Other
169675,L'osti d'jeu,6.08682,Party
169697,Heldentaufe,7.27055,Other
169713,Monopoly: The Big Bang Theory,6.09756,Other
169714,The Game of Life: My Little Pony,5.63333,Other
169720,War of Tanks: France 1940 – The Breakthrough at Dinant,7.40541,War
169743,Moons,5.8573,Other
169755,Woof Meow Biscuits,5.45853,Other
169768,Space Opera,6.52398,Other
169782,Noppa-Alias,5.33871,Other
169786,Scythe,8.21978,Strategy
169794,Haspelknecht,7.25245,Strategy
169795,Haithabu,6.15872,Other
169814,AEG Black Friday Black Box,7.00648,Other
169918,Magia Cum Laude,6.75694,Other
169925,Age of Craft,6.70786,Other
169926,To the Strongest!,7.82558,Other
169984,Stowaway 52,5.58962,Other
169987,Maximum Throwdown: Overload,4.73382,Other
169988,Pancake Pile-Up,5.36325,Other
170041,Splash!,6.2684,Other
170042,Raiders of the North Sea,7.77088,Strategy
170043,7: The Defense of Lwów,6.71887,War
170054,Accentuate,5.1625,Other
170146,Dark Seas,6.22097,Other
170190,Time Jockeys,5.0383,Other
170195,Oh My Gods!,7.38945,Other
170199,Solarius Mission,7.20105,Strategy
170202,Floating Market,6.24549,Family
170216,Blood Rage,7.99408,Strategy
170223,Centauri Saga,6.60248,Strategy
170225,DRCongo,6.96249,Strategy
170274,Never Have I Ever: The Game of Poor Life Decisions,5.03662,Other
170298,One-hour Wargames,8.025,War
170300,Wombat Rescue,6.47732,Family
170318,Among the Stars: Revival,7.1956,Other
170337,Dwarfest,6.08111,Other
170344,Atak Zombie,6.15915,Other
170381,Mars Attacks: Ten-Minute Takedown,5.72022,Other
170390,España 20: Volume 1,7.56977,War
170395,BoardGameGeek: The Card Game,5.35815,Other
170415,Dungeon of Fortune,6.04022,Other
170423,Comment j'ai adopté un gnou,6.2408,Other
170430,12 Days of Christmas,5.9391,Other
170437,The Curse of the Black Dice,6.21151,Family
170447,Kard és Korona,6.56514,Other
170472,Prelude to Rebellion: Mobilization & Unrest in Lower Canada,8.15077,Other
170477,Dino Dude Ranch,7.21267,Family
170511,Slap .45 Mini,5.67073,Other
170537,Swords and Bagpipes,6.56273,Thematic
170555,Who Knows Where?,6.37755,Other
170568,Krosmaster: Arena – Duel Pack 2,7.03952,Other
170583,Capture: A Medieval Wargame,6.72439,Other
170587,Don't Mess with Cthulhu,6.87489,Party
170604,Renegade,7.78056,Strategy
170609,Treatment: A Psychiatry Card Game,5.76316,Other
170624,Crusaders: Thy Will Be Done,7.54361,Strategy
170669,Old School Tactical: Volume 1 – Fighting on the Eastern Front 1941/42,8.18814,War
170676,Nosocomio,6.38556,Other
170756,Fast & Furious: Full Throttle,6.82758,Other
170771,Sword & Sorcery,7.99833,Thematic
170799,Lost Woods,6.68516,Family
170815,Lancaster: Big Box,7.8169,Other
170825,Bad Medicine,6.54618,Party
170867,Battle of Durak,6.4379,Other
170901,Jarl: The Vikings Tile-Laying Game,6.88893,Abstract
170909,Caçadores da Galáxia,7.6871,Strategy
170922,Boomtown Bandits,6.38023,Other
170927,Kortslutning,4.97686,Other
170951,The Foreign King,6.39651,Other
170954,Stinky Pig Game,4.133,Other
170969,Gigamons,6.50119,Other
170980,Elven Castle,6.92821,Other
170984,Timeline: Sports et Loisirs,6.64387,Other
171011,Favor of the Pharaoh,6.79283,Family
171037,Doctor Panic,6.24516,Other
171087,Jenga Quake,5.68987,Other
171090,Monopoly Junior: Disney Frozen,4.08281,Other
171110,Cosmic Run,7.1166,Other
171124,Hero's Journey Home,7.16079,Other
171126,Clue: Supernatural,5.99636,Other
171129,Spinderella,6.47896,Childrens
171136,Pingo Pingo,6.39467,Other
171199,Munchkin Legends Deluxe,6.59203,Other
171211,Muertoons,5.40323,Other
171221,Kniffel Kids,5.91486,Other
171226,Starfighter,6.72384,Strategy
171233,The Big Book of Madness,6.94518,Strategy
171234,Skulldug!,6.53423,Other
171258,Cabaret,6.66667,Other
171261,Hocus,6.55432,Other
171273,FUSE,7.03886,Family
171278,Victory Roads,8.07877,War
171351,Random Encounters,6.98586,Other
171356,Argonauts,7.02713,Thematic
171369,Schlafmütze,4.58,Other
171385,Shuffle My Little Pony,5.48333,Other
171411,Bubble Bomb,4.72368,Other
171419,My First Bohnanza,6.60878,Other
171424,Kakerlakak,5.27413,Other
171430,Do Not Forsake Me (Oh My Darling),5.98,Other
171431,The Maiden in the Forest,6.41936,Other
171447,Bad Bunnies,5.39036,Other
171475,Särge schubsen,5.87388,Other
171479,Commissioned,7.29231,Thematic
171489,Qwirkle Cards,5.93522,Other
171492,Vienna,6.49199,Family
171494,Kniffel Master,6.31538,Other
171499,Cacao,7.09691,Family
171500,El Dorado Canyon,8.736,Other
171540,Mount Pingo,5.53421,Other
171542,Gum Gum Machine,5.85082,Other
171543,Pronto,6.03689,Other
171544,Think Str8!,6.93851,Family
171547,Tornado Ellie,5.40474,Other
171548,Bermuda,5.94015,Other
171579,Dwarves Inc.,6.79808,Other
171620,Thieves!,5.98101,Other
171623,The Voyages of Marco Polo,7.84242,Strategy
171626,Lotti Karotti: Das Hasenrennen,5.31438,Other
171662,Neanderthal,7.3281,Thematic
171665,Scotland Yard Junior,5.85192,Other
171668,The Grizzled,7.1786,Thematic
171669,Discoveries: The Journals of Lewis & Clark,7.06514,Strategy
171708,Holdfast: Korea 1950-51,6.75905,War
171721,Micro Rome,7.06173,Other
171726,Project: ELITE,7.63438,Thematic
171742,"Lion of Judah: The War for Ethiopia, 1935-1941",7.6463,War
171775,Dexikon,6.273,Other
171779,GemPacked Cards,6.4931,Family
171835,Posthuman,6.51646,Thematic
171862,Vikings: The Board Game,6.23053,Other
171879,Kraftwagen,7.26058,Strategy
171889,Sawanna,6.04915,Other
171890,Best Treehouse Ever,6.56247,Family
171905,Orléans: Deluxe Edition,8.38276,Other
171908,El Grande Big Box,8.2402,Other
171950,Hands,6.32383,Other
171964,The Order of Vampire Hunters,7.4959,Thematic
171978,The Dwarves: The Duel,6.00505,Other
